RA,Ano_Referencia,Fase,INDE,IAN,IDA,IEG,IPS,IPP,IPV,Probabilidade_Risco,Risco_Real_2024,Classificacao_Modelo
RA-458,2023,FASE 3,6.312083333,5.0,3.8,6.9,7.52,7.1875,6.2475,0.6951472567430439,1,1
RA-137,2023,FASE 5,5.937025,5.0,6.0,6.3,2.52,6.40625,6.88,0.695087188628875,1,1
RA-710,2023,FASE 1,7.0582,5.0,6.5,9.0,3.77,7.083333333,7.113333333,0.6926291556409716,1,1
RA-636,2023,FASE 1,6.836666667,5.0,9.0,8.3,5.64,8.333333333,7.446666667,0.6875258245211382,0,1
RA-123,2023,FASE 5,6.068333333,5.0,5.7,9.4,5.0,6.875,6.8375,0.6862751789847739,1,1
RA-960,2023,ALFA,7.0847,5.0,6.3,10.0,7.52,5.625,5.85,0.6849302597339415,1,1
RA-871,2023,ALFA,6.8617,5.0,6.9,9.5,3.76,4.375,6.84,0.6848342583758901,0,1
RA-160,2023,FASE 5,6.598266667,5.0,5.0,8.3,2.52,8.125,7.46,0.6846831224849502,1,1
RA-42,2023,FASE 5,6.794516667,5.0,5.7,8.6,5.63,6.5625,6.6675,0.6842720643864415,1,1
RA-286,2023,FASE 4,5.713333333,5.0,4.7,7.5,5.0,8.125,7.3375,0.6828615880021814,1,1
RA-249,2023,FASE 3,5.444625,5.0,4.9,8.2,5.0,5.15625,6.545,0.6811954375250803,1,1
RA-517,2023,FASE 2,6.3104,5.0,6.6,9.0,2.52,6.875,6.7125,0.6776091949984615,0,1
RA-239,2023,FASE 4,6.411333333,5.0,7.0,8.4,5.0,8.125,7.6275,0.677462486372349,1,1
RA-549,2023,FASE 1,7.0297,5.0,6.4,8.1,5.02,6.875,7.5,0.6764865078205531,1,1
RA-155,2023,FASE 5,6.318991667,5.0,4.4,8.1,5.0,7.03125,6.5875,0.6763292221745609,0,1
RA-965,2023,ALFA,6.4832,5.0,4.7,8.2,6.27,5.0,7.18,0.6731346159736251,1,1
RA-267,2023,FASE 4,,5.0,2.7,7.7,,4.6875,6.505,0.6707509268218698,1,1
RA-538,2023,FASE 2,6.413466667,5.0,4.7,8.6,2.52,7.916666667,7.39,0.6685356352710995,1,1
RA-947,2023,ALFA,6.3457,10.0,3.3,7.9,7.52,4.375,5.08,0.6682433894411228,1,1
RA-912,2023,ALFA,7.0797,5.0,6.3,9.4,7.52,5.625,7.175,0.6669476801242107,1,1
RA-423,2023,FASE 2,6.607533333,5.0,3.4,8.7,6.89,7.083333333,7.45,0.6659682873766019,0,1
RA-368,2023,FASE 3,5.796458333,5.0,6.7,7.7,2.52,7.03125,7.34,0.663345151647508,1,1
RA-729,2023,ALFA,7.26545,5.0,8.6,9.1,3.77,6.5625,7.01,0.6633123914502937,1,1
RA-616,2023,FASE 2,5.612,5.0,6.8,6.6,5.02,5.833333333,6.783333333,0.659357079561438,0,1
RA-990,2023,ALFA,7.254,5.0,7.8,8.5,7.52,7.5,,0.655514418399932,1,1
RA-773,2023,ALFA,6.9287,5.0,7.9,7.5,2.52,5.625,7.67,0.6538636224859423,1,1
RA-704,2023,ALFA,6.8297,5.0,6.1,9.9,3.14,5.625,6.265,0.6525498841773257,1,1
RA-382,2023,FASE 3,6.223833333,5.0,5.2,9.4,6.26,7.5,7.1725,0.6511962356522107,1,1
RA-529,2023,FASE 1,7.278991667,5.0,6.8,9.6,7.52,5.78125,6.893333333,0.6474836324422542,1,1
RA-716,2023,FASE 1,6.813366667,5.0,5.6,8.7,3.77,6.875,7.443333333,0.6461793773896829,1,1
RA-381,2023,FASE 3,5.758041667,5.0,3.9,8.4,6.89,7.34375,6.84,0.6458137476782158,1,1
RA-121,2023,FASE 5,6.811875,5.0,6.0,8.8,5.0,7.34375,7.4625,0.6452600340902702,1,1
RA-401,2023,FASE 2,6.363666667,5.0,7.3,8.1,2.52,7.083333333,7.116666667,0.6449455493406836,0,1
RA-767,2023,FASE 1,7.3807,5.0,6.3,8.3,7.52,7.291666667,7.446666667,0.6444423873396721,1,1
RA-938,2023,ALFA,6.7372,5.0,4.2,8.4,7.52,6.25,7.5,0.6441903496121659,1,1
RA-1079,2023,FASE 2,6.916533333,5.0,7.6,8.1,2.52,7.083333333,7.13,0.6439148056935878,0,1
RA-147,2023,FASE 4,5.5425,5.0,4.5,7.0,5.63,6.875,7.46,0.6391716396737827,1,1
RA-112,2023,FASE 5,7.141308333,5.0,7.4,8.1,5.0,7.96875,7.9225,0.6376128794136972,0,1
RA-336,2023,FASE 3,5.887708333,5.0,5.1,7.5,6.89,7.34375,7.255,0.635594109133413,0,1
RA-1189,2023,FASE 4,,5.0,6.1,9.0,,7.8125,7.3775,0.6345269046000722,1,1
RA-558,2023,FASE 2,6.615333333,2.5,6.0,9.4,5.0,6.458333333,6.78,0.6320807043008329,1,1
RA-643,2023,FASE 1,7.389033333,5.0,7.1,8.2,7.52,6.041666667,7.613333333,0.6320355290967254,1,1
RA-1097,2023,FASE 2,6.9547,5.0,5.4,8.6,5.0,8.125,6.96,0.6295677517024131,1,1
RA-464,2023,FASE 3,6.081675,5.0,3.0,7.7,2.52,7.96875,7.38,0.6283557046034588,1,1
RA-1146,2023,FASE 3,6.689583333,5.0,3.7,8.8,6.26,7.1875,6.965,0.6280742426265108,1,1
RA-878,2023,ALFA,6.24,5.0,8.1,9.5,2.52,5.0,7.34,0.6278678787311345,1,1
RA-1141,2023,FASE 2,7.2757,5.0,5.9,8.8,7.52,7.708333333,7.113333333,0.6239723250225214,0,1
RA-577,2023,FASE 1,7.219366667,5.0,7.4,8.2,3.77,6.875,7.673333333,0.6239152078946062,1,1
RA-404,2023,FASE 2,6.7093,5.0,6.0,8.3,5.02,6.875,6.89,0.615866381991497,0,1
RA-407,2023,FASE 3,7.665083333,5.0,7.3,8.6,7.52,7.8125,7.5,0.6157060849570689,0,1
RA-1172,2023,FASE 4,7.030108333,5.0,6.7,7.8,2.52,8.59375,8.46,0.6156170333469652,1,1
RA-613,2023,FASE 3,6.864508333,5.0,4.8,9.4,5.0,6.71875,7.2125,0.6147687046918064,1,1
RA-905,2023,ALFA,7.831033333,5.0,8.3,9.4,7.52,6.875,7.056666667,0.613577123121844,1,1
RA-571,2023,FASE 1,6.6097,5.0,5.0,7.9,3.77,7.291666667,7.616666667,0.611864033584947,1,1
RA-973,2023,ALFA,5.82875,5.0,5.2,8.6,3.77,7.1875,7.415,0.6113358066577558,1,1
RA-149,2023,FASE 4,5.622266667,5.0,4.7,4.2,2.52,7.5,7.2925,0.6110215591413616,1,1
RA-1184,2023,FASE 4,7.381566667,5.0,7.3,8.3,5.0,8.125,8.045,0.6106843971160283,1,1
RA-1070,2023,FASE 1,6.939033333,5.0,5.8,7.8,3.14,7.708333333,8.67,0.6104320471092529,1,1
RA-170,2023,FASE 3,7.062433333,5.0,7.2,8.9,2.52,6.875,7.6725,0.6104295558483873,1,1
RA-116,2023,FASE 5,6.433075,5.0,4.7,7.6,5.0,7.96875,7.5475,0.6097515571048061,1,1
RA-450,2023,FASE 3,6.819625,5.0,5.4,8.4,2.52,7.65625,7.9175,0.6077619449321773,1,1
RA-735,2023,FASE 1,7.184,5.0,8.1,9.0,7.52,8.333333333,8.393333333,0.6075440362198357,1,1
RA-392,2023,FASE 3,6.567208333,5.0,4.6,9.5,2.52,6.09375,7.17,0.6073285971298746,1,1
RA-318,2023,FASE 4,6.856575,5.0,4.9,8.1,6.26,7.96875,7.71,0.6057539894415654,1,1
RA-175,2023,FASE 5,6.569516667,5.0,4.8,9.2,2.52,7.1875,7.085,0.6049999613958218,1,1
RA-706,2023,ALFA,7.1527,5.0,7.3,7.8,4.39,6.875,8.08,0.6044821892498827,0,1
RA-271,2023,FASE 4,6.140333333,5.0,5.9,9.3,2.52,8.125,7.7125,0.6042844824153442,1,1
RA-273,2023,FASE 3,6.337116667,5.0,5.0,7.4,2.52,7.8125,7.6275,0.6037004625110558,1,1
RA-152,2023,FASE 4,6.30695,5.0,4.5,7.7,2.52,7.8125,7.71,0.6031836698178487,1,1
RA-842,2023,ALFA,7.2117,5.0,7.9,8.5,3.77,5.625,8.01,0.602449929713482,1,1
RA-989,2023,ALFA,7.7242,5.0,8.3,8.1,2.52,7.5,,0.6011836305549165,0,1
RA-397,2023,FASE 4,6.207083333,5.0,4.6,7.9,2.52,7.1875,7.465,0.6010016054415473,1,1
RA-325,2023,FASE 2,6.243,10.0,5.6,7.1,5.0,8.125,7.0025,0.6009711271941016,0,1
RA-483,2023,FASE 1,6.3972,5.0,5.6,6.0,2.52,7.916666667,8.166666667,0.6009613014156984,1,1
RA-138,2023,FASE 4,6.784075,5.0,4.3,7.9,6.26,7.34375,7.4175,0.5996317558768864,1,1
RA-1174,2023,FASE 4,7.333591667,5.0,6.8,8.7,2.52,8.90625,8.3375,0.5994779122123493,0,1
RA-92,2023,FASE 6,7.375916667,5.0,6.7,9.4,5.63,7.1875,7.045,0.5985061800673833,0,1
RA-1188,2023,FASE 4,,5.0,6.4,9.4,,7.8125,7.5875,0.5955997410078174,1,1
RA-1043,2023,FASE 1,6.5447,5.0,2.5,7.9,6.27,7.708333333,7.833333333,0.5951870881233952,1,1
RA-1116,2023,FASE 2,6.956533333,5.0,4.9,9.2,5.0,7.083333333,7.39,0.594909603645676,1,1
RA-924,2023,ALFA,6.5207,10.0,5.0,5.6,7.52,5.625,5.93,0.5934240078292354,1,1
RA-681,2023,ALFA,6.2955,5.0,8.3,7.8,3.77,5.625,8.18,0.5933410146385762,1,1
RA-91,2023,FASE 6,7.42395,5.0,7.4,7.4,6.89,7.8125,7.4675,0.5911125477959339,1,1
RA-251,2023,FASE 4,6.665208333,5.0,5.3,8.0,2.52,7.34375,7.835,0.5904340851482527,1,1
RA-85,2023,FASE 5,7.08435,5.0,5.7,8.9,6.27,5.9375,7.8425,0.5902857812078409,1,1
RA-662,2023,FASE 2,6.733566667,5.0,6.7,7.6,6.27,7.291666667,6.72,0.5894994732002934,0,1
RA-306,2023,FASE 4,5.732375,5.0,4.0,7.9,6.26,7.34375,7.46,0.5885974804231819,1,1
RA-1036,2023,FASE 1,6.970583333,5.0,8.0,9.6,3.77,9.0625,8.336666667,0.5856424146440531,0,1
RA-80,2023,FASE 6,7.252275,5.0,6.3,8.4,6.89,7.96875,7.465,0.5795217703435265,0,1
RA-790,2023,FASE 1,6.707666667,5.0,7.4,8.1,7.52,7.083333333,8.286666667,0.5783114478435424,1,1
RA-570,2023,FASE 1,6.781033333,5.0,5.9,7.3,3.77,8.125,8.056666667,0.577238952410211,1,1
RA-173,2023,FASE 5,7.757466667,5.0,8.1,8.5,6.26,8.125,7.8775,0.5766805945228909,0,1
RA-57,2023,FASE 6,6.450875,5.0,7.2,8.0,5.63,7.96875,7.755,0.5762968092397316,0,1
RA-705,2023,ALFA,6.982,5.0,8.8,8.3,6.89,7.5,8.165,0.575108398155895,1,1
RA-665,2023,FASE 1,6.185658333,5.0,5.2,4.9,2.52,8.28125,8.226666667,0.5738899772821932,1,1
RA-1017,2023,FASE 1,6.505333333,5.0,7.7,8.0,5.02,7.5,8.116666667,0.573334007393075,0,1
RA-1200,2023,FASE 5,5.711166667,10.0,4.0,6.4,5.0,7.5,6.8725,0.5728764657369796,1,1
RA-426,2023,FASE 3,6.329158333,5.0,5.0,7.6,5.0,7.65625,7.5425,0.5696613417802346,1,1
RA-591,2023,FASE 2,7.1472,5.0,6.9,8.5,6.27,5.833333333,7.333333333,0.5684962541396371,1,1
RA-1195,2023,FASE 4,5.677291667,2.5,5.4,8.3,2.52,8.28125,8.0025,0.567697845344576,1,1
RA-202,2023,FASE 4,6.791641667,5.0,5.9,7.9,2.52,7.96875,8.005,0.5646626269679442,1,1
RA-840,2023,ALFA,7.7862,5.0,8.2,9.0,4.38,7.5,8.59,0.5625545606151854,0,1
RA-534,2023,FASE 2,5.8385,5.0,5.4,8.1,2.52,8.125,7.92,0.5622559267302096,0,1
RA-217,2023,FASE 4,6.96965,5.0,5.6,8.6,2.52,8.4375,8.5025,0.5619942780882825,1,1
RA-656,2023,FASE 2,6.780833333,5.0,7.3,8.9,7.52,8.541666667,7.173333333,0.5611148960379779,0,1
RA-620,2023,FASE 2,7.043666667,5.0,6.2,8.4,7.52,6.875,7.503333333,0.5588030565107867,0,1
RA-680,2023,FASE 1,6.5855,5.0,6.4,9.1,7.52,6.875,7.78,0.5582401329131704,1,1
RA-827,2023,FASE 1,7.419925,5.0,8.1,8.1,3.14,8.28125,8.73,0.5562599065789715,0,1
RA-762,2023,FASE 1,7.09945,5.0,5.8,9.1,3.14,7.8125,7.67,0.5553555403100102,1,1
RA-1060,2023,FASE 1,7.095741667,5.0,5.7,8.6,3.14,7.96875,8.673333333,0.5511403568369913,0,1
RA-1069,2023,FASE 1,7.590033333,5.0,7.1,7.8,7.52,8.125,8.226666667,0.5498599806759484,0,1
RA-94,2023,FASE 5,7.289333333,5.0,7.2,9.6,2.52,8.75,7.795,0.5496655951342635,0,1
RA-830,2023,ALFA,6.78,5.0,8.3,8.9,3.14,6.25,9.505,0.5491702500394249,1,1
RA-241,2023,FASE 4,7.016,5.0,7.5,9.9,2.52,8.75,9.545,0.547835115508134,0,1
RA-1193,2023,FASE 4,6.018083333,10.0,4.1,7.8,5.0,7.1875,7.13,0.5451006007429169,1,1
RA-245,2023,FASE 4,7.171166667,5.0,8.1,10.0,2.52,8.75,9.5875,0.5444131171713645,0,1
RA-433,2023,FASE 2,6.5982,5.0,4.8,7.2,7.52,5.833333333,7.613333333,0.5400946633462462,0,1
RA-715,2023,ALFA,5.8915,5.0,5.4,9.5,3.14,5.625,7.675,0.5385104259300374,0,1
RA-727,2023,ALFA,7.6802,5.0,8.0,8.8,2.52,7.5,9.34,0.5378918032475262,0,1
RA-763,2023,ALFA,6.7215,5.0,7.9,9.2,3.14,6.875,9.0,0.5369051023728084,1,1
RA-669,2023,FASE 2,7.345033333,10.0,5.0,7.8,7.52,7.708333333,7.06,0.5366404582377929,0,1
RA-633,2023,FASE 2,6.6552,5.0,7.2,8.1,6.27,8.541666667,7.286666667,0.5355139588292258,0,1
RA-315,2023,FASE 3,5.977708333,5.0,6.3,6.8,5.0,7.96875,7.8375,0.5328903444515671,1,1
RA-831,2023,ALFA,7.71645,5.0,8.3,9.4,3.77,7.8125,8.59,0.5321609872229641,1,1
RA-920,2023,ALFA,6.9647,10.0,6.1,6.3,7.52,5.625,6.35,0.5291792009137245,1,1
RA-1136,2023,FASE 2,6.7351,5.0,6.6,8.1,2.52,8.333333333,7.723333333,0.5289988765935845,1,1
RA-305,2023,FASE 3,6.394291667,5.0,5.2,8.9,7.52,7.65625,7.75,0.5280623616614722,1,1
RA-961,2023,ALFA,5.99625,5.0,6.2,8.7,2.52,5.3125,8.665,0.526597692277237,1,1
RA-667,2023,FASE 2,6.774866667,5.0,5.2,6.9,6.89,7.083333333,7.836666667,0.5256645590568295,0,1
RA-1224,2023,FASE 7,7.5524,5.0,8.0,9.4,5.0,7.125,7.6325,0.5242332732173423,0,1
RA-146,2023,FASE 5,7.584483333,5.0,7.9,9.5,5.0,8.4375,8.2125,0.5230141192413497,1,1
RA-740,2023,ALFA,7.2845,5.0,9.1,8.7,7.52,6.875,8.925,0.5212529686170296,1,1
RA-820,2023,FASE 1,7.85605,5.0,8.9,7.4,7.52,9.0625,8.28,0.5210772143177201,0,1
RA-467,2023,FASE 3,6.552916667,5.0,5.2,9.2,3.14,7.1875,7.5425,0.5208638068557522,0,1
RA-807,2023,ALFA,7.8632,5.0,8.0,9.1,7.52,6.25,8.08,0.5202803031326506,0,1
RA-743,2023,ALFA,6.659,5.0,7.1,9.1,3.77,7.5,9.01,0.5194354108121166,1,1
RA-1028,2023,FASE 1,6.415708333,5.0,5.0,9.2,7.52,7.34375,7.946666667,0.5150252339252025,1,1
RA-746,2023,FASE 1,6.517166667,10.0,7.2,8.0,3.77,6.875,7.113333333,0.5148180732373049,0,1
RA-1067,2023,FASE 1,6.541458333,5.0,5.4,7.9,7.52,8.28125,9.006666667,0.513954408577891,1,1
RA-581,2023,FASE 1,7.7167,5.0,7.9,9.8,7.52,6.458333333,7.393333333,0.5136966401701487,1,1
RA-630,2023,FASE 1,7.199991667,5.0,5.7,8.6,3.77,8.28125,8.673333333,0.512012357180967,0,1
RA-522,2023,FASE 1,7.890533333,5.0,8.3,9.2,7.52,7.083333333,8.45,0.5115873135282815,0,1
RA-26,2023,FASE 7,,5.0,,,7.52,,,0.5111100530956078,0,1
RA-879,2023,ALFA,6.8225,5.0,8.2,9.8,2.52,6.875,8.915,0.5099260597228397,1,1
RA-707,2023,FASE 1,6.518,5.0,6.5,9.8,3.77,7.916666667,7.946666667,0.5072795811057067,1,1
RA-388,2023,FASE 3,5.630833333,5.0,4.2,7.4,5.63,6.875,7.835,0.5061427991663623,1,1
RA-607,2023,FASE 1,7.333075,5.0,6.8,7.5,7.52,7.96875,8.17,0.5043684953391688,0,1
RA-524,2023,FASE 2,7.331133333,5.0,8.9,9.2,2.52,8.333333333,7.42,0.5042998680739617,0,1
RA-1171,2023,FASE 3,7.856033333,5.0,8.7,8.4,5.0,8.75,8.88,0.5041304031569108,1,1
RA-919,2023,ALFA,6.225,5.0,5.3,8.4,7.52,6.25,8.09,0.5035639459499797,1,1
RA-1199,2023,FASE 5,7.024933333,5.0,6.2,9.1,5.0,6.875,8.0875,0.5034765666536659,1,1
RA-749,2023,ALFA,7.7597,5.0,7.3,9.0,7.52,5.625,8.425,0.5009661166500712,1,1
RA-438,2023,FASE 2,6.9883,10.0,5.4,7.5,6.26,6.458333333,7.223333333,0.500932067969314,1,1
RA-521,2023,FASE 1,6.768666667,5.0,7.9,9.9,3.77,7.083333333,8.166666667,0.4979537855026375,0,1
RA-1168,2023,FASE 3,5.886625,10.0,3.5,8.8,2.52,7.65625,7.045,0.497894415563459,1,1
RA-956,2023,ALFA,7.7312,5.0,7.8,7.5,7.52,7.5,9.345,0.49770499494652415,1,1
RA-1155,2023,FASE 3,7.821633333,5.0,8.0,9.2,5.63,7.5,8.2925,0.49680324752590055,1,1
RA-78,2023,FASE 6,6.434625,5.0,6.7,7.7,6.26,8.28125,8.0025,0.4944729218122352,0,1
RA-637,2023,FASE 1,8.109533333,5.0,8.5,9.5,7.52,8.333333333,8.17,0.49441971157866815,0,1
RA-283,2023,FASE 3,7.549025,5.0,6.8,9.5,7.52,7.03125,7.5025,0.49428694462290396,1,1
RA-1150,2023,FASE 3,7.076008333,2.5,6.7,9.8,2.52,7.96875,7.835,0.49403231262514574,1,1
RA-470,2023,FASE 3,6.993766667,5.0,4.9,9.2,5.0,7.5,7.71,0.49370512524837035,0,1
RA-780,2023,ALFA,7.7842,5.0,8.3,8.8,3.14,8.75,8.675,0.49350589676282236,1,1
RA-841,2023,ALFA,6.78,5.0,6.9,7.2,7.52,7.5,9.84,0.4933187705087179,1,1
RA-645,2023,FASE 1,7.613033333,5.0,7.3,8.5,6.27,8.125,8.116666667,0.4872831122395525,0,1
RA-1216,2023,FASE 6,7.7105,5.0,7.9,9.0,5.63,7.5,7.795,0.48685431978425875,0,1
RA-1220,2023,FASE 6,6.46725,5.0,6.8,9.0,5.0,7.8125,7.63,0.48619559600666534,1,1
RA-1225,2023,FASE 7,,5.0,,,2.52,,,0.48509783834232595,0,1
RA-167,2023,FASE 5,7.806141667,5.0,7.9,9.9,5.0,7.96875,7.8375,0.48479982063789273,1,1
RA-304,2023,FASE 3,6.241583333,5.0,5.7,8.8,5.0,7.8125,7.835,0.4847568846410662,1,1
RA-1066,2023,FASE 1,7.262616667,5.0,6.2,6.6,7.52,8.4375,8.783333333,0.48467774607588127,0,1
RA-301,2023,FASE 4,6.760341667,10.0,5.2,5.4,7.52,6.71875,6.465,0.4843979888043014,0,1
RA-801,2023,FASE 1,6.8735,10.0,7.6,7.5,7.52,6.875,7.12,0.4834346806266224,1,1
RA-1210,2023,FASE 5,7.171083333,5.0,4.7,9.4,5.0,7.8125,8.09,0.48341917084507613,0,1
RA-768,2023,ALFA,8.4042,5.0,7.9,9.1,7.52,7.5,,0.482281319062896,1,1
RA-432,2023,FASE 3,6.850183333,5.0,5.2,9.0,2.52,7.8125,8.0425,0.4809629455510782,1,1
RA-1198,2023,FASE 5,7.515233333,5.0,6.7,9.4,6.26,7.5,7.9625,0.4801428826620566,1,1
RA-925,2023,ALFA,7.1837,10.0,5.4,8.9,7.52,5.625,5.595,0.4780553329717083,1,1
RA-1178,2023,FASE 4,7.066475,5.0,5.7,9.3,2.52,7.96875,8.2125,0.47801071932578515,1,1
RA-546,2023,FASE 2,6.031666667,5.0,5.7,7.2,2.52,8.75,9.173333333,0.476051426903921,0,1
RA-568,2023,FASE 2,6.9647,2.5,7.6,7.9,5.0,8.125,8.01,0.47534572263695757,1,1
RA-444,2023,FASE 3,5.958791667,10.0,4.7,7.9,5.0,6.40625,6.4575,0.4701628130114365,1,1
RA-237,2023,FASE 4,7.436566667,5.0,6.7,9.5,2.52,8.125,8.96,0.46948939125105377,1,1
RA-1032,2023,FASE 1,7.434033333,5.0,6.0,9.5,7.52,7.291666667,7.563333333,0.46942294139861257,1,1
