RA,Ano_Referencia,Fase,INDE,IAN,IDA,IEG,IPS,IPP,IPV,Probabilidade_Risco,Risco_Real_2024,Classificacao_Modelo
RA-171,2023,FASE 5,6.293083333,5.0,5.2,7.2,5.0,7.1875,6.755,0.6788327909815876,1,1
RA-267,2023,FASE 4,,5.0,2.7,7.7,,4.6875,6.505,0.6785019481729584,1,1
RA-155,2023,FASE 5,6.318991667,5.0,4.4,8.1,5.0,7.03125,6.5875,0.6750640926864183,0,1
RA-672,2023,ALFA,6.5623,5.0,6.4,9.5,2.52,5.625,6.43,0.6743085208777714,1,1
RA-42,2023,FASE 5,6.794516667,5.0,5.7,8.6,5.63,6.5625,6.6675,0.6706362220456776,1,1
RA-123,2023,FASE 5,6.068333333,5.0,5.7,9.4,5.0,6.875,6.8375,0.6704236795384627,1,1
RA-381,2023,FASE 3,5.758041667,5.0,3.9,8.4,6.89,7.34375,6.84,0.6649994703455225,1,1
RA-636,2023,FASE 1,6.836666667,5.0,9.0,8.3,5.64,8.333333333,7.446666667,0.6646176354311354,0,1
RA-710,2023,FASE 1,7.0582,5.0,6.5,9.0,3.77,7.083333333,7.113333333,0.661354265850121,1,1
RA-729,2023,ALFA,7.26545,5.0,8.6,9.1,3.77,6.5625,7.01,0.6578624248312223,1,1
RA-382,2023,FASE 3,6.223833333,5.0,5.2,9.4,6.26,7.5,7.1725,0.6556613976415303,1,1
RA-125,2023,FASE 5,6.989633333,5.0,5.8,7.7,5.0,8.125,7.835,0.6506796364049239,1,1
RA-239,2023,FASE 4,6.411333333,5.0,7.0,8.4,5.0,8.125,7.6275,0.6490745319033023,1,1
RA-529,2023,FASE 1,7.278991667,5.0,6.8,9.6,7.52,5.78125,6.893333333,0.6456437493918485,1,1
RA-549,2023,FASE 1,7.0297,5.0,6.4,8.1,5.02,6.875,7.5,0.6441778041418943,1,1
RA-731,2023,FASE 1,6.7742,5.0,6.8,7.6,3.14,7.5,7.45,0.6440100969509642,1,1
RA-947,2023,ALFA,6.3457,10.0,3.3,7.9,7.52,4.375,5.08,0.6435753348285703,1,1
RA-773,2023,ALFA,6.9287,5.0,7.9,7.5,2.52,5.625,7.67,0.643547585896757,1,1
RA-912,2023,ALFA,7.0797,5.0,6.3,9.4,7.52,5.625,7.175,0.6404807775157709,1,1
RA-423,2023,FASE 2,6.607533333,5.0,3.4,8.7,6.89,7.083333333,7.45,0.6386135071063351,0,1
RA-368,2023,FASE 3,5.796458333,5.0,6.7,7.7,2.52,7.03125,7.34,0.6383106069626968,1,1
RA-336,2023,FASE 3,5.887708333,5.0,5.1,7.5,6.89,7.34375,7.255,0.637896817738505,0,1
RA-960,2023,ALFA,7.0847,5.0,6.3,10.0,7.52,5.625,5.85,0.6339712819143934,1,1
RA-538,2023,FASE 2,6.413466667,5.0,4.7,8.6,2.52,7.916666667,7.39,0.63392488827208,1,1
RA-149,2023,FASE 4,5.622266667,5.0,4.7,4.2,2.52,7.5,7.2925,0.6335364471613693,1,1
RA-147,2023,FASE 4,5.5425,5.0,4.5,7.0,5.63,6.875,7.46,0.6320472461147383,1,1
RA-871,2023,ALFA,6.8617,5.0,6.9,9.5,3.76,4.375,6.84,0.6315459709475741,0,1
RA-401,2023,FASE 2,6.363666667,5.0,7.3,8.1,2.52,7.083333333,7.116666667,0.6301836289826007,0,1
RA-990,2023,ALFA,7.254,5.0,7.8,8.5,7.52,7.5,,0.6296373176714398,1,1
RA-160,2023,FASE 5,6.598266667,5.0,5.0,8.3,2.52,8.125,7.46,0.6272805078159344,1,1
RA-716,2023,FASE 1,6.813366667,5.0,5.6,8.7,3.77,6.875,7.443333333,0.6263317976855804,1,1
RA-704,2023,ALFA,6.8297,5.0,6.1,9.9,3.14,5.625,6.265,0.6206131504456359,1,1
RA-1079,2023,FASE 2,6.916533333,5.0,7.6,8.1,2.52,7.083333333,7.13,0.619419531305764,0,1
RA-558,2023,FASE 2,6.615333333,2.5,6.0,9.4,5.0,6.458333333,6.78,0.6152419694279376,1,1
RA-1097,2023,FASE 2,6.9547,5.0,5.4,8.6,5.0,8.125,6.96,0.6141495415943338,1,1
RA-1146,2023,FASE 3,6.689583333,5.0,3.7,8.8,6.26,7.1875,6.965,0.6127874298155035,1,1
RA-306,2023,FASE 4,5.732375,5.0,4.0,7.9,6.26,7.34375,7.46,0.610338260772595,1,1
RA-1141,2023,FASE 2,7.2757,5.0,5.9,8.8,7.52,7.708333333,7.113333333,0.6098629664951487,0,1
RA-397,2023,FASE 4,6.207083333,5.0,4.6,7.9,2.52,7.1875,7.465,0.6098117062020436,1,1
RA-681,2023,ALFA,6.2955,5.0,8.3,7.8,3.77,5.625,8.18,0.6085566439697467,1,1
RA-878,2023,ALFA,6.24,5.0,8.1,9.5,2.52,5.0,7.34,0.6085355734537031,1,1
RA-464,2023,FASE 3,6.081675,5.0,3.0,7.7,2.52,7.96875,7.38,0.6080208478913585,1,1
RA-973,2023,ALFA,5.82875,5.0,5.2,8.6,3.77,7.1875,7.415,0.606001669293898,1,1
RA-152,2023,FASE 4,6.30695,5.0,4.5,7.7,2.52,7.8125,7.71,0.6058066213144512,1,1
RA-138,2023,FASE 4,6.784075,5.0,4.3,7.9,6.26,7.34375,7.4175,0.6054149123096618,1,1
RA-1172,2023,FASE 4,7.030108333,5.0,6.7,7.8,2.52,8.59375,8.46,0.6045244450939499,1,1
RA-1189,2023,FASE 4,,5.0,6.1,9.0,,7.8125,7.3775,0.6044585355999788,1,1
RA-842,2023,ALFA,7.2117,5.0,7.9,8.5,3.77,5.625,8.01,0.6018228090302993,1,1
RA-767,2023,FASE 1,7.3807,5.0,6.3,8.3,7.52,7.291666667,7.446666667,0.6010348091592432,1,1
RA-325,2023,FASE 2,6.243,10.0,5.6,7.1,5.0,8.125,7.0025,0.5995580482222741,0,1
RA-404,2023,FASE 2,6.7093,5.0,6.0,8.3,5.02,6.875,6.89,0.5989160034005011,0,1
RA-577,2023,FASE 1,7.219366667,5.0,7.4,8.2,3.77,6.875,7.673333333,0.5968027291232805,1,1
RA-938,2023,ALFA,6.7372,5.0,4.2,8.4,7.52,6.25,7.5,0.594516520617075,1,1
RA-643,2023,FASE 1,7.389033333,5.0,7.1,8.2,7.52,6.041666667,7.613333333,0.5941216897574825,1,1
RA-662,2023,FASE 2,6.733566667,5.0,6.7,7.6,6.27,7.291666667,6.72,0.5936457997651275,0,1
RA-112,2023,FASE 5,7.141308333,5.0,7.4,8.1,5.0,7.96875,7.9225,0.5934532122302257,0,1
RA-735,2023,FASE 1,7.184,5.0,8.1,9.0,7.52,8.333333333,8.393333333,0.5922674265325426,1,1
RA-175,2023,FASE 5,6.569516667,5.0,4.8,9.2,2.52,7.1875,7.085,0.5912626308688007,1,1
RA-989,2023,ALFA,7.7242,5.0,8.3,8.1,2.52,7.5,,0.5912525523915131,0,1
RA-273,2023,FASE 3,6.337116667,5.0,5.0,7.4,2.52,7.8125,7.6275,0.5906280995516844,1,1
RA-121,2023,FASE 5,6.811875,5.0,6.0,8.8,5.0,7.34375,7.4625,0.5900707878369111,1,1
RA-905,2023,ALFA,7.831033333,5.0,8.3,9.4,7.52,6.875,7.056666667,0.5900608062895956,1,1
RA-706,2023,ALFA,7.1527,5.0,7.3,7.8,4.39,6.875,8.08,0.5888327970093639,0,1
RA-705,2023,ALFA,6.982,5.0,8.8,8.3,6.89,7.5,8.165,0.5862045447153716,1,1
RA-318,2023,FASE 4,6.856575,5.0,4.9,8.1,6.26,7.96875,7.71,0.5816359726648552,1,1
RA-1174,2023,FASE 4,7.333591667,5.0,6.8,8.7,2.52,8.90625,8.3375,0.5811565666273871,0,1
RA-1036,2023,FASE 1,6.970583333,5.0,8.0,9.6,3.77,9.0625,8.336666667,0.5810188909825575,0,1
RA-1188,2023,FASE 4,,5.0,6.4,9.4,,7.8125,7.5875,0.5786110073678186,1,1
RA-483,2023,FASE 1,6.3972,5.0,5.6,6.0,2.52,7.916666667,8.166666667,0.5784967152865265,1,1
RA-407,2023,FASE 3,7.665083333,5.0,7.3,8.6,7.52,7.8125,7.5,0.5780217116805519,0,1
RA-271,2023,FASE 4,6.140333333,5.0,5.9,9.3,2.52,8.125,7.7125,0.5779743454024966,1,1
RA-571,2023,FASE 1,6.6097,5.0,5.0,7.9,3.77,7.291666667,7.616666667,0.5771919088098932,1,1
RA-1070,2023,FASE 1,6.939033333,5.0,5.8,7.8,3.14,7.708333333,8.67,0.5765421987665454,1,1
RA-392,2023,FASE 3,6.567208333,5.0,4.6,9.5,2.52,6.09375,7.17,0.5755817795289702,1,1
RA-170,2023,FASE 3,7.062433333,5.0,7.2,8.9,2.52,6.875,7.6725,0.5753294096426451,1,1
RA-1200,2023,FASE 5,5.711166667,10.0,4.0,6.4,5.0,7.5,6.8725,0.5744545670342728,1,1
RA-1043,2023,FASE 1,6.5447,5.0,2.5,7.9,6.27,7.708333333,7.833333333,0.571171930265419,1,1
RA-1116,2023,FASE 2,6.956533333,5.0,4.9,9.2,5.0,7.083333333,7.39,0.5692147029780711,1,1
RA-92,2023,FASE 6,7.375916667,5.0,6.7,9.4,5.63,7.1875,7.045,0.568066145619506,0,1
RA-1017,2023,FASE 1,6.505333333,5.0,7.7,8.0,5.02,7.5,8.116666667,0.5660803168191526,0,1
RA-1184,2023,FASE 4,7.381566667,5.0,7.3,8.3,5.0,8.125,8.045,0.5655059825171018,1,1
RA-91,2023,FASE 6,7.42395,5.0,7.4,7.4,6.89,7.8125,7.4675,0.5646889656254374,1,1
RA-924,2023,ALFA,6.5207,10.0,5.0,5.6,7.52,5.625,5.93,0.5646769721346195,1,1
RA-830,2023,ALFA,6.78,5.0,8.3,8.9,3.14,6.25,9.505,0.5634799230909938,1,1
RA-534,2023,FASE 2,5.8385,5.0,5.4,8.1,2.52,8.125,7.92,0.5628642597151732,0,1
RA-613,2023,FASE 3,6.864508333,5.0,4.8,9.4,5.0,6.71875,7.2125,0.5623425199976522,1,1
RA-85,2023,FASE 5,7.08435,5.0,5.7,8.9,6.27,5.9375,7.8425,0.5611084088340281,1,1
RA-251,2023,FASE 4,6.665208333,5.0,5.3,8.0,2.52,7.34375,7.835,0.559470218348652,1,1
RA-827,2023,FASE 1,7.419925,5.0,8.1,8.1,3.14,8.28125,8.73,0.5593919262049076,0,1
RA-591,2023,FASE 2,7.1472,5.0,6.9,8.5,6.27,5.833333333,7.333333333,0.5572538678452608,1,1
RA-450,2023,FASE 3,6.819625,5.0,5.4,8.4,2.52,7.65625,7.9175,0.5563994887764946,1,1
RA-620,2023,FASE 2,7.043666667,5.0,6.2,8.4,7.52,6.875,7.503333333,0.5533518145408084,0,1
RA-1195,2023,FASE 4,5.677291667,2.5,5.4,8.3,2.52,8.28125,8.0025,0.5528583071005364,1,1
RA-665,2023,FASE 1,6.185658333,5.0,5.2,4.9,2.52,8.28125,8.226666667,0.5484419806705654,1,1
RA-656,2023,FASE 2,6.780833333,5.0,7.3,8.9,7.52,8.541666667,7.173333333,0.5482252409036242,0,1
RA-790,2023,FASE 1,6.707666667,5.0,7.4,8.1,7.52,7.083333333,8.286666667,0.5481899156612708,1,1
RA-1060,2023,FASE 1,7.095741667,5.0,5.7,8.6,3.14,7.96875,8.673333333,0.5474747496668427,0,1
RA-1193,2023,FASE 4,6.018083333,10.0,4.1,7.8,5.0,7.1875,7.13,0.5470836709369061,1,1
RA-570,2023,FASE 1,6.781033333,5.0,5.9,7.3,3.77,8.125,8.056666667,0.5452842411593464,1,1
RA-426,2023,FASE 3,6.329158333,5.0,5.0,7.6,5.0,7.65625,7.5425,0.5437506375228289,1,1
RA-57,2023,FASE 6,6.450875,5.0,7.2,8.0,5.63,7.96875,7.755,0.5430807955712545,0,1
RA-1069,2023,FASE 1,7.590033333,5.0,7.1,7.8,7.52,8.125,8.226666667,0.5385145491376077,0,1
RA-80,2023,FASE 6,7.252275,5.0,6.3,8.4,6.89,7.96875,7.465,0.537169673300975,0,1
RA-840,2023,ALFA,7.7862,5.0,8.2,9.0,4.38,7.5,8.59,0.5369162051781103,0,1
RA-245,2023,FASE 4,7.171166667,5.0,8.1,10.0,2.52,8.75,9.5875,0.5368689443343794,0,1
RA-116,2023,FASE 5,6.433075,5.0,4.7,7.6,5.0,7.96875,7.5475,0.5336267247036169,1,1
RA-820,2023,FASE 1,7.85605,5.0,8.9,7.4,7.52,9.0625,8.28,0.5323750578062207,0,1
RA-202,2023,FASE 4,6.791641667,5.0,5.9,7.9,2.52,7.96875,8.005,0.5316005351457184,1,1
RA-727,2023,ALFA,7.6802,5.0,8.0,8.8,2.52,7.5,9.34,0.5305172152791202,0,1
RA-740,2023,ALFA,7.2845,5.0,9.1,8.7,7.52,6.875,8.925,0.5297659951849956,1,1
RA-633,2023,FASE 2,6.6552,5.0,7.2,8.1,6.27,8.541666667,7.286666667,0.5272184134173852,0,1
RA-1136,2023,FASE 2,6.7351,5.0,6.6,8.1,2.52,8.333333333,7.723333333,0.5268803738511719,1,1
RA-746,2023,FASE 1,6.517166667,10.0,7.2,8.0,3.77,6.875,7.113333333,0.5233939971535176,0,1
RA-241,2023,FASE 4,7.016,5.0,7.5,9.9,2.52,8.75,9.545,0.522301058625317,0,1
RA-763,2023,ALFA,6.7215,5.0,7.9,9.2,3.14,6.875,9.0,0.521802435592253,1,1
RA-669,2023,FASE 2,7.345033333,10.0,5.0,7.8,7.52,7.708333333,7.06,0.5210741163302928,0,1
RA-173,2023,FASE 5,7.757466667,5.0,8.1,8.5,6.26,8.125,7.8775,0.5198789394672733,0,1
RA-762,2023,FASE 1,7.09945,5.0,5.8,9.1,3.14,7.8125,7.67,0.5195666723720475,1,1
RA-831,2023,ALFA,7.71645,5.0,8.3,9.4,3.77,7.8125,8.59,0.5186370127309234,1,1
RA-94,2023,FASE 5,7.289333333,5.0,7.2,9.6,2.52,8.75,7.795,0.5153602470984102,0,1
RA-956,2023,ALFA,7.7312,5.0,7.8,7.5,7.52,7.5,9.345,0.5144881154999926,1,1
RA-630,2023,FASE 1,7.199991667,5.0,5.7,8.6,3.77,8.28125,8.673333333,0.5142890588985756,0,1
RA-879,2023,ALFA,6.8225,5.0,8.2,9.8,2.52,6.875,8.915,0.5141417223259587,1,1
RA-680,2023,FASE 1,6.5855,5.0,6.4,9.1,7.52,6.875,7.78,0.5135071635568663,1,1
RA-433,2023,FASE 2,6.5982,5.0,4.8,7.2,7.52,5.833333333,7.613333333,0.5110645934499425,0,1
RA-743,2023,ALFA,6.659,5.0,7.1,9.1,3.77,7.5,9.01,0.5107239722255543,1,1
RA-521,2023,FASE 1,6.768666667,5.0,7.9,9.9,3.77,7.083333333,8.166666667,0.5086107398061666,0,1
RA-780,2023,ALFA,7.7842,5.0,8.3,8.8,3.14,8.75,8.675,0.5078036537232302,1,1
RA-388,2023,FASE 3,5.630833333,5.0,4.2,7.4,5.63,6.875,7.835,0.5051890590403748,1,1
RA-667,2023,FASE 2,6.774866667,5.0,5.2,6.9,6.89,7.083333333,7.836666667,0.5034112911966402,0,1
RA-715,2023,ALFA,5.8915,5.0,5.4,9.5,3.14,5.625,7.675,0.5028591530244779,0,1
RA-524,2023,FASE 2,7.331133333,5.0,8.9,9.2,2.52,8.333333333,7.42,0.502742135907168,0,1
RA-305,2023,FASE 3,6.394291667,5.0,5.2,8.9,7.52,7.65625,7.75,0.5023625063729331,1,1
RA-315,2023,FASE 3,5.977708333,5.0,6.3,6.8,5.0,7.96875,7.8375,0.5021145846327734,1,1
RA-568,2023,FASE 2,6.9647,2.5,7.6,7.9,5.0,8.125,8.01,0.5010588530950861,1,1
RA-217,2023,FASE 4,6.96965,5.0,5.6,8.6,2.52,8.4375,8.5025,0.5003015897233632,1,1
RA-961,2023,ALFA,5.99625,5.0,6.2,8.7,2.52,5.3125,8.665,0.4998708017811509,1,1
RA-607,2023,FASE 1,7.333075,5.0,6.8,7.5,7.52,7.96875,8.17,0.4973885928673799,0,1
RA-1168,2023,FASE 3,5.886625,10.0,3.5,8.8,2.52,7.65625,7.045,0.49720457421663306,1,1
RA-1171,2023,FASE 3,7.856033333,5.0,8.7,8.4,5.0,8.75,8.88,0.4928702786028534,1,1
RA-1067,2023,FASE 1,6.541458333,5.0,5.4,7.9,7.52,8.28125,9.006666667,0.4927777936857525,1,1
RA-26,2023,FASE 7,,5.0,,,7.52,,,0.4923970297511663,0,1
RA-792,2023,ALFA,7.6267,5.0,7.2,7.7,7.52,6.875,9.085,0.49012363871374015,1,1
RA-841,2023,ALFA,6.78,5.0,6.9,7.2,7.52,7.5,9.84,0.4898711284849177,1,1
RA-444,2023,FASE 3,5.958791667,10.0,4.7,7.9,5.0,6.40625,6.4575,0.4877237791620142,1,1
RA-146,2023,FASE 5,7.584483333,5.0,7.9,9.5,5.0,8.4375,8.2125,0.48709862065296017,1,1
RA-237,2023,FASE 4,7.436566667,5.0,6.7,9.5,2.52,8.125,8.96,0.48599363873011053,1,1
RA-301,2023,FASE 4,6.760341667,10.0,5.2,5.4,7.52,6.71875,6.465,0.4840694306020773,0,1
RA-522,2023,FASE 1,7.890533333,5.0,8.3,9.2,7.52,7.083333333,8.45,0.4828908844306444,0,1
RA-546,2023,FASE 2,6.031666667,5.0,5.7,7.2,2.52,8.75,9.173333333,0.4825352708093417,0,1
RA-807,2023,ALFA,7.8632,5.0,8.0,9.1,7.52,6.25,8.08,0.48088955658562715,0,1
RA-1066,2023,FASE 1,7.262616667,5.0,6.2,6.6,7.52,8.4375,8.783333333,0.480456624325924,0,1
RA-340,2023,FASE 2,7.059666667,5.0,8.9,9.6,2.52,9.166666667,8.505,0.47953489657787013,0,1
RA-925,2023,ALFA,7.1837,10.0,5.4,8.9,7.52,5.625,5.595,0.4788118875460055,1,1
RA-920,2023,ALFA,6.9647,10.0,6.1,6.3,7.52,5.625,6.35,0.47876773969558745,1,1
RA-78,2023,FASE 6,6.434625,5.0,6.7,7.7,6.26,8.28125,8.0025,0.4786804266677123,0,1
RA-749,2023,ALFA,7.7597,5.0,7.3,9.0,7.52,5.625,8.425,0.47689732137652613,1,1
RA-1224,2023,FASE 7,7.5524,5.0,8.0,9.4,5.0,7.125,7.6325,0.4764016509800463,0,1
RA-1028,2023,FASE 1,6.415708333,5.0,5.0,9.2,7.52,7.34375,7.946666667,0.4762974991541519,1,1
RA-801,2023,FASE 1,6.8735,10.0,7.6,7.5,7.52,6.875,7.12,0.47581716848508215,1,1
RA-438,2023,FASE 2,6.9883,10.0,5.4,7.5,6.26,6.458333333,7.223333333,0.4755389124818535,1,1
RA-645,2023,FASE 1,7.613033333,5.0,7.3,8.5,6.27,8.125,8.116666667,0.47343456612086565,0,1
RA-707,2023,FASE 1,6.518,5.0,6.5,9.8,3.77,7.916666667,7.946666667,0.4725477598964992,1,1
RA-467,2023,FASE 3,6.552916667,5.0,5.2,9.2,3.14,7.1875,7.5425,0.46979512049084116,0,1
RA-470,2023,FASE 3,6.993766667,5.0,4.9,9.2,5.0,7.5,7.71,0.46971205997264137,0,1
RA-863,2023,ALFA,5.92975,10.0,6.3,7.6,3.14,5.9375,6.26,0.4690797229201254,1,1
RA-472,2023,FASE 2,6.6858,5.0,5.5,7.1,7.52,7.708333333,8.223333333,0.46708830712876465,1,1
RA-408,2023,FASE 2,7.242133333,5.0,6.8,8.5,3.77,8.333333333,8.45,0.46454939056523825,0,1
RA-637,2023,FASE 1,8.109533333,5.0,8.5,9.5,7.52,8.333333333,8.17,0.46271615987188053,0,1
RA-496,2023,FASE 2,6.603666667,5.0,8.3,7.1,5.0,7.916666667,8.71,0.46212535051235754,0,1
RA-1150,2023,FASE 3,7.076008333,2.5,6.7,9.8,2.52,7.96875,7.835,0.4608655966570982,1,1
RA-369,2023,FASE 2,6.0197,5.0,4.0,4.1,5.0,8.541666667,7.726666667,0.4598567676101428,0,1
RA-304,2023,FASE 3,6.241583333,5.0,5.7,8.8,5.0,7.8125,7.835,0.45784079227691565,1,1
RA-1210,2023,FASE 5,7.171083333,5.0,4.7,9.4,5.0,7.8125,8.09,0.4577688364238671,0,1
RA-919,2023,ALFA,6.225,5.0,5.3,8.4,7.52,6.25,8.09,0.45765604820630146,1,1
RA-1155,2023,FASE 3,7.821633333,5.0,8.0,9.2,5.63,7.5,8.2925,0.4549755106155766,1,1
RA-991,2023,ALFA,7.7687,5.0,7.7,9.1,3.14,6.875,9.585,0.4539299062752875,1,1
RA-916,2023,ALFA,7.3882,5.0,6.6,9.7,2.52,6.25,9.005,0.45100258177144614,1,1
RA-167,2023,FASE 5,7.806141667,5.0,7.9,9.9,5.0,7.96875,7.8375,0.4505584782908478,1,1
RA-581,2023,FASE 1,7.7167,5.0,7.9,9.8,7.52,6.458333333,7.393333333,0.450463304152196,1,1
